price18,date
66010,2025-06-12T00:00:02
66010,2025-06-12T00:01:02
66020,2025-06-12T00:02:01
66020,2025-06-12T00:03:02
66020,2025-06-12T00:04:02
66030,2025-06-12T00:05:02
66040,2025-06-12T00:06:02
66050,2025-06-12T00:07:02
66060,2025-06-12T00:07:32
66070,2025-06-12T00:09:02
66080,2025-06-12T00:10:03
66090,2025-06-12T00:11:02
66100,2025-06-12T00:12:02
66120,2025-06-12T00:13:02
66120,2025-06-12T00:14:02
66120,2025-06-12T00:15:02
66130,2025-06-12T00:16:02
66150,2025-06-12T00:17:02
66150,2025-06-12T00:18:03
66150,2025-06-12T00:19:02
66160,2025-06-12T00:20:02
66170,2025-06-12T00:21:02
66180,2025-06-12T00:22:02
66190,2025-06-12T00:23:02
66200,2025-06-12T00:24:02
66210,2025-06-12T00:25:02
66210,2025-06-12T00:26:02
66220,2025-06-12T00:27:02
66220,2025-06-12T00:27:32
66240,2025-06-12T00:28:32
66250,2025-06-12T00:29:32
66260,2025-06-12T00:30:32
66270,2025-06-12T00:31:33
66270,2025-06-12T00:32:01
66270,2025-06-12T00:33:32
66280,2025-06-12T00:34:02
66280,2025-06-12T00:35:02
66300,2025-06-12T00:36:02
66300,2025-06-12T00:37:02
66310,2025-06-12T00:38:03
66320,2025-06-12T00:39:02
66320,2025-06-12T00:40:03
66330,2025-06-12T00:41:32
66340,2025-06-12T00:42:32
66340,2025-06-12T00:43:32
66360,2025-06-12T00:44:32
66360,2025-06-12T00:45:32
66360,2025-06-12T00:46:32
66370,2025-06-12T00:47:32
66370,2025-06-12T00:48:32
66370,2025-06-12T00:49:02
66370,2025-06-12T00:50:02
66370,2025-06-12T00:51:32
66370,2025-06-12T00:52:02
66370,2025-06-12T00:53:04
66370,2025-06-12T00:54:02
66370,2025-06-12T00:55:02
66370,2025-06-12T00:56:02
66380,2025-06-12T00:57:02
66380,2025-06-12T00:58:04
66380,2025-06-12T00:59:02
66380,2025-06-12T01:00:31
66380,2025-06-12T01:01:31
66380,2025-06-12T01:02:32
66370,2025-06-12T01:03:31
66370,2025-06-12T01:04:31
66350,2025-06-12T01:05:32
66350,2025-06-12T01:06:31
66350,2025-06-12T01:07:32
66350,2025-06-12T01:08:32
66360,2025-06-12T01:09:32
66340,2025-06-12T01:10:32
66340,2025-06-12T01:11:32
66340,2025-06-12T01:12:32
66320,2025-06-12T01:13:02
66320,2025-06-12T01:14:03
66330,2025-06-12T01:15:02
66290,2025-06-12T01:16:02
66290,2025-06-12T01:17:02
66300,2025-06-12T01:18:04
66270,2025-06-12T01:19:32
66280,2025-06-12T01:20:32
66280,2025-06-12T01:21:32
66280,2025-06-12T01:22:03
66280,2025-06-12T01:23:01
66280,2025-06-12T01:24:01
66280,2025-06-12T01:25:05
66280,2025-06-12T01:26:02
66270,2025-06-12T01:27:02
66260,2025-06-12T01:28:04
66260,2025-06-12T01:29:01
66250,2025-06-12T01:30:32
66240,2025-06-12T01:31:31
66230,2025-06-12T01:32:02
66240,2025-06-12T01:33:31
66240,2025-06-12T01:34:32
66240,2025-06-12T01:35:32
66250,2025-06-12T01:36:32
66250,2025-06-12T01:37:31
66260,2025-06-12T01:38:32
66260,2025-06-12T01:39:32
66270,2025-06-12T01:40:32
66270,2025-06-12T01:41:02
66280,2025-06-12T01:42:02
66280,2025-06-12T01:43:02
66280,2025-06-12T01:44:02
66270,2025-06-12T01:45:02
66270,2025-06-12T01:46:32
66270,2025-06-12T01:47:31
66270,2025-06-12T01:48:32
66270,2025-06-12T01:49:32
66270,2025-06-12T01:50:32
66270,2025-06-12T01:51:31
66270,2025-06-12T01:52:03
66270,2025-06-12T01:53:32
66270,2025-06-12T01:54:02
66270,2025-06-12T01:55:02
66270,2025-06-12T01:56:02
66270,2025-06-12T01:57:02
66270,2025-06-12T01:58:03
66250,2025-06-12T01:59:02
66260,2025-06-12T02:00:02
