price18,date
66980,2025-06-13T00:00:03
66980,2025-06-13T00:01:06
66980,2025-06-13T00:02:02
66980,2025-06-13T00:03:02
67000,2025-06-13T00:04:02
67010,2025-06-13T00:05:02
67030,2025-06-13T00:06:02
67030,2025-06-13T00:07:02
67060,2025-06-13T00:08:32
67070,2025-06-13T00:09:02
67070,2025-06-13T00:10:02
67080,2025-06-13T00:11:02
67080,2025-06-13T00:12:02
67080,2025-06-13T00:13:03
67090,2025-06-13T00:14:02
67100,2025-06-13T00:15:03
67110,2025-06-13T00:16:02
67120,2025-06-13T00:17:02
67130,2025-06-13T00:18:03
67130,2025-06-13T00:19:02
67140,2025-06-13T00:20:02
67150,2025-06-13T00:21:02
67140,2025-06-13T00:22:02
67140,2025-06-13T00:23:02
67150,2025-06-13T00:24:02
67140,2025-06-13T00:25:02
67140,2025-06-13T00:26:02
67140,2025-06-13T00:27:02
67140,2025-06-13T00:28:03
67130,2025-06-13T00:29:02
67130,2025-06-13T00:30:02
67140,2025-06-13T00:31:02
67140,2025-06-13T00:32:02
67140,2025-06-13T00:33:02
67140,2025-06-13T00:34:02
67140,2025-06-13T00:35:02
67150,2025-06-13T00:36:03
67150,2025-06-13T00:37:02
67150,2025-06-13T00:38:04
67160,2025-06-13T00:39:02
67170,2025-06-13T00:40:02
67190,2025-06-13T00:41:02
67180,2025-06-13T00:42:02
67190,2025-06-13T00:43:02
67190,2025-06-13T00:44:02
67190,2025-06-13T00:45:02
67190,2025-06-13T00:46:02
67210,2025-06-13T00:47:02
67210,2025-06-13T00:48:04
67210,2025-06-13T00:49:02
67210,2025-06-13T00:49:32
67230,2025-06-13T00:50:32
67240,2025-06-13T00:51:32
67240,2025-06-13T00:52:32
67250,2025-06-13T00:53:32
67250,2025-06-13T00:54:32
67250,2025-06-13T00:55:32
67260,2025-06-13T00:56:32
67260,2025-06-13T00:57:32
67260,2025-06-13T00:58:32
67260,2025-06-13T00:59:32
67260,2025-06-13T01:00:32
67270,2025-06-13T01:01:36
67270,2025-06-13T01:02:32
67270,2025-06-13T01:03:32
67280,2025-06-13T01:04:32
67280,2025-06-13T01:05:32
67280,2025-06-13T01:06:32
67280,2025-06-13T01:07:32
67290,2025-06-13T01:08:32
67300,2025-06-13T01:09:33
67300,2025-06-13T01:10:33
67300,2025-06-13T01:11:32
67320,2025-06-13T01:12:32
67330,2025-06-13T01:13:32
67340,2025-06-13T01:14:32
67340,2025-06-13T01:15:33
67350,2025-06-13T01:16:32
67350,2025-06-13T01:17:33
67350,2025-06-13T01:18:32
67340,2025-06-13T01:19:32
67340,2025-06-13T01:20:34
67330,2025-06-13T01:21:32
67340,2025-06-13T01:22:32
67340,2025-06-13T01:23:32
67340,2025-06-13T01:24:32
67340,2025-06-13T01:25:32
67340,2025-06-13T01:26:32
67340,2025-06-13T01:27:32
67330,2025-06-13T01:28:32
67330,2025-06-13T01:29:32
67340,2025-06-13T01:30:32
67320,2025-06-13T01:31:32
67320,2025-06-13T01:32:32
67320,2025-06-13T01:33:32
67320,2025-06-13T01:34:32
67310,2025-06-13T01:35:32
67310,2025-06-13T01:36:32
67310,2025-06-13T01:37:32
67310,2025-06-13T01:38:32
67300,2025-06-13T01:39:32
67300,2025-06-13T01:40:33
67300,2025-06-13T01:41:32
67300,2025-06-13T01:42:32
67290,2025-06-13T01:43:32
67280,2025-06-13T01:44:32
67280,2025-06-13T01:45:33
