price18,date
66980,2025-06-13T00:00:03
66980,2025-06-13T00:01:06
66980,2025-06-13T00:02:02
66980,2025-06-13T00:03:02
67000,2025-06-13T00:04:02
67010,2025-06-13T00:05:02
67030,2025-06-13T00:06:02
67030,2025-06-13T00:07:02
67060,2025-06-13T00:08:32
67070,2025-06-13T00:09:02
67070,2025-06-13T00:10:02
67080,2025-06-13T00:11:02
67080,2025-06-13T00:12:02
67080,2025-06-13T00:13:03
67090,2025-06-13T00:14:02
67100,2025-06-13T00:15:03
67110,2025-06-13T00:16:02
67120,2025-06-13T00:17:02
67130,2025-06-13T00:18:03
67130,2025-06-13T00:19:02
67140,2025-06-13T00:20:02
67150,2025-06-13T00:21:02
67140,2025-06-13T00:22:02
67140,2025-06-13T00:23:02
67150,2025-06-13T00:24:02
67140,2025-06-13T00:25:02
67140,2025-06-13T00:26:02
67140,2025-06-13T00:27:02
67140,2025-06-13T00:28:03
67130,2025-06-13T00:29:02
67130,2025-06-13T00:30:02
67140,2025-06-13T00:31:02
67140,2025-06-13T00:32:02
67140,2025-06-13T00:33:02
67140,2025-06-13T00:34:02
67140,2025-06-13T00:35:02
67150,2025-06-13T00:36:03
67150,2025-06-13T00:37:02
67150,2025-06-13T00:38:04
67160,2025-06-13T00:39:02
67170,2025-06-13T00:40:02
67190,2025-06-13T00:41:02
67180,2025-06-13T00:42:02
67190,2025-06-13T00:43:02
67190,2025-06-13T00:44:02
67190,2025-06-13T00:45:02
67190,2025-06-13T00:46:02
67210,2025-06-13T00:47:02
67210,2025-06-13T00:48:04
67210,2025-06-13T00:49:02
67210,2025-06-13T00:49:32
67230,2025-06-13T00:50:32
67240,2025-06-13T00:51:32
67240,2025-06-13T00:52:32
67250,2025-06-13T00:53:32
67250,2025-06-13T00:54:32
67250,2025-06-13T00:55:32
67260,2025-06-13T00:56:32
67260,2025-06-13T00:57:32
67260,2025-06-13T00:58:32
67260,2025-06-13T00:59:32
67260,2025-06-13T01:00:32
67270,2025-06-13T01:01:36
67270,2025-06-13T01:02:32
67270,2025-06-13T01:03:32
67280,2025-06-13T01:04:32
67280,2025-06-13T01:05:32
67280,2025-06-13T01:06:32
67280,2025-06-13T01:07:32
67290,2025-06-13T01:08:32
67300,2025-06-13T01:09:33
67300,2025-06-13T01:10:33
67300,2025-06-13T01:11:32
67320,2025-06-13T01:12:32
67330,2025-06-13T01:13:32
67340,2025-06-13T01:14:32
67340,2025-06-13T01:15:33
67350,2025-06-13T01:16:32
67350,2025-06-13T01:17:33
67350,2025-06-13T01:18:32
67340,2025-06-13T01:19:32
67340,2025-06-13T01:20:34
67330,2025-06-13T01:21:32
67340,2025-06-13T01:22:32
67340,2025-06-13T01:23:32
67340,2025-06-13T01:24:32
67340,2025-06-13T01:25:32
67340,2025-06-13T01:26:32
67340,2025-06-13T01:27:32
67330,2025-06-13T01:28:32
67330,2025-06-13T01:29:32
67340,2025-06-13T01:30:32
67320,2025-06-13T01:31:32
67320,2025-06-13T01:32:32
67320,2025-06-13T01:33:32
67320,2025-06-13T01:34:32
67310,2025-06-13T01:35:32
67310,2025-06-13T01:36:32
67310,2025-06-13T01:37:32
67310,2025-06-13T01:38:32
67300,2025-06-13T01:39:32
67300,2025-06-13T01:40:33
67300,2025-06-13T01:41:32
67300,2025-06-13T01:42:32
67290,2025-06-13T01:43:32
67280,2025-06-13T01:44:32
67280,2025-06-13T01:45:33
67280,2025-06-13T01:46:32
67280,2025-06-13T01:47:32
67280,2025-06-13T01:48:32
67280,2025-06-13T01:49:32
67280,2025-06-13T01:50:32
67280,2025-06-13T01:51:32
67280,2025-06-13T01:52:32
67280,2025-06-13T01:53:32
67280,2025-06-13T01:54:32
67280,2025-06-13T01:55:32
67280,2025-06-13T01:56:32
67280,2025-06-13T01:57:33
67280,2025-06-13T01:58:32
67290,2025-06-13T01:59:33
67290,2025-06-13T02:00:33
67290,2025-06-13T02:01:32
67300,2025-06-13T02:02:32
67300,2025-06-13T02:03:32
67290,2025-06-13T02:04:32
67290,2025-06-13T02:05:32
67290,2025-06-13T02:06:32
67290,2025-06-13T02:07:32
67290,2025-06-13T02:08:32
67290,2025-06-13T02:09:32
67290,2025-06-13T02:10:32
67290,2025-06-13T02:11:35
67290,2025-06-13T02:12:32
67290,2025-06-13T02:13:32
67290,2025-06-13T02:14:32
67300,2025-06-13T02:15:33
67290,2025-06-13T02:16:32
67300,2025-06-13T02:17:32
67300,2025-06-13T02:18:32
67300,2025-06-13T02:19:32
67290,2025-06-13T02:20:32
67280,2025-06-13T02:21:32
67290,2025-06-13T02:22:32
67280,2025-06-13T02:23:32
67290,2025-06-13T02:24:32
67290,2025-06-13T02:25:32
67290,2025-06-13T02:26:32
67290,2025-06-13T02:27:32
67290,2025-06-13T02:28:32
67290,2025-06-13T02:29:32
67290,2025-06-13T02:30:32
67280,2025-06-13T02:31:32
67280,2025-06-13T02:32:32
67280,2025-06-13T02:33:32
67280,2025-06-13T02:34:32
67270,2025-06-13T02:35:32
67270,2025-06-13T02:36:32
67250,2025-06-13T02:37:32
67250,2025-06-13T02:38:32
67250,2025-06-13T02:39:32
67250,2025-06-13T02:40:32
67250,2025-06-13T02:41:32
67250,2025-06-13T02:42:32
67260,2025-06-13T02:43:32
67250,2025-06-13T02:44:32
67250,2025-06-13T02:45:32
67260,2025-06-13T02:46:32
67260,2025-06-13T02:47:31
67260,2025-06-13T02:48:32
67260,2025-06-13T02:49:32
67260,2025-06-13T02:50:32
67260,2025-06-13T02:51:32
67260,2025-06-13T02:52:32
67260,2025-06-13T02:53:32
67260,2025-06-13T02:54:32
67260,2025-06-13T02:55:33
67260,2025-06-13T02:56:33
67260,2025-06-13T02:57:32
67260,2025-06-13T02:58:32
67260,2025-06-13T02:59:32
67260,2025-06-13T03:00:33
67260,2025-06-13T03:01:32
67260,2025-06-13T03:02:32
67270,2025-06-13T03:03:32
67270,2025-06-13T03:04:32
67260,2025-06-13T03:05:32
67260,2025-06-13T03:06:32
67260,2025-06-13T03:07:32
67250,2025-06-13T03:08:32
67250,2025-06-13T03:09:32
67260,2025-06-13T03:10:32
67260,2025-06-13T03:11:32
67270,2025-06-13T03:12:32
67280,2025-06-13T03:13:32
67290,2025-06-13T03:14:32
67290,2025-06-13T03:15:32
67300,2025-06-13T03:16:32
67300,2025-06-13T03:17:32
67310,2025-06-13T03:18:32
67320,2025-06-13T03:19:32
67310,2025-06-13T03:20:32
67320,2025-06-13T03:21:32
67320,2025-06-13T03:22:33
67320,2025-06-13T03:23:32
67330,2025-06-13T03:24:32
67330,2025-06-13T03:25:32
67340,2025-06-13T03:26:32
67350,2025-06-13T03:27:33
67360,2025-06-13T03:28:32
67390,2025-06-13T03:29:32
67410,2025-06-13T03:30:32
67430,2025-06-13T03:31:32
67460,2025-06-13T03:32:32
67490,2025-06-13T03:33:32
67510,2025-06-13T03:34:32
67510,2025-06-13T03:35:32
67520,2025-06-13T03:36:32
67490,2025-06-13T03:37:33
67430,2025-06-13T03:38:33
67350,2025-06-13T03:39:33
67300,2025-06-13T03:40:33
67390,2025-06-13T03:41:32
67470,2025-06-13T03:42:33
67460,2025-06-13T03:43:32
67560,2025-06-13T03:44:32
67670,2025-06-13T03:45:32
67770,2025-06-13T03:46:33
67770,2025-06-13T03:47:32
67780,2025-06-13T03:48:32
67870,2025-06-13T03:49:32
67870,2025-06-13T03:50:33
67870,2025-06-13T03:51:32
67860,2025-06-13T03:52:32
67860,2025-06-13T03:53:33
67850,2025-06-13T03:54:32
67840,2025-06-13T03:55:32
67840,2025-06-13T03:56:33
67840,2025-06-13T03:57:32
67840,2025-06-13T03:58:32
67840,2025-06-13T03:59:33
67840,2025-06-13T04:00:32
68510,2025-06-13T04:01:32
68510,2025-06-13T04:02:33
68510,2025-06-13T04:03:32
68510,2025-06-13T04:03:32
69180,2025-06-13T04:05:32
69180,2025-06-13T04:06:32
69180,2025-06-13T04:07:32
69180,2025-06-13T04:08:33
69180,2025-06-13T04:09:32
69180,2025-06-13T04:10:33
69860,2025-06-13T04:11:33
69860,2025-06-13T04:12:33
69860,2025-06-13T04:13:32
69860,2025-06-13T04:14:32
69860,2025-06-13T04:15:33
69860,2025-06-13T04:16:32
69860,2025-06-13T04:17:32
69860,2025-06-13T04:18:32
69860,2025-06-13T04:19:32
69860,2025-06-13T04:20:33
69860,2025-06-13T04:21:32
69860,2025-06-13T04:22:32
71200,2025-06-13T04:23:32
71200,2025-06-13T04:24:32
71200,2025-06-13T04:25:32
71200,2025-06-13T04:26:32
71200,2025-06-13T04:27:32
71200,2025-06-13T04:28:32
71200,2025-06-13T04:29:32
71200,2025-06-13T04:30:32
71880,2025-06-13T04:31:32
71880,2025-06-13T04:32:32
71880,2025-06-13T04:33:32
71880,2025-06-13T04:34:32
71880,2025-06-13T04:35:32
71880,2025-06-13T04:36:32
71880,2025-06-13T04:37:32
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71880,2025-06-13T04:38:04
71870,2025-06-13T05:00:38
71870,2025-06-13T05:00:38
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71570,2025-06-13T05:02:21
71520,2025-06-13T05:19:47
71520,2025-06-13T05:19:47
71520,2025-06-13T05:19:47
71520,2025-06-13T05:19:47
71520,2025-06-13T05:19:47
71320,2025-06-13T05:25:33
71320,2025-06-13T05:25:33
71320,2025-06-13T05:25:33
71120,2025-06-13T05:28:02
71120,2025-06-13T05:28:02
71000,2025-06-13T05:30:11
71000,2025-06-13T05:30:11
71000,2025-06-13T05:30:11
71000,2025-06-13T05:30:11
71000,2025-06-13T05:30:11
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70990,2025-06-13T05:35:39
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
70970,2025-06-13T05:44:40
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71300,2025-06-13T05:59:37
71600,2025-06-13T06:12:10
71800,2025-06-13T06:13:06
71800,2025-06-13T06:13:06
72000,2025-06-13T06:14:56
72300,2025-06-13T06:15:51
72300,2025-06-13T06:15:51
72300,2025-06-13T06:15:51
73000,2025-06-13T06:19:07
73400,2025-06-13T06:19:46
73400,2025-06-13T06:19:46
73400,2025-06-13T06:19:46
73400,2025-06-13T06:19:46
73400,2025-06-13T06:19:46
73400,2025-06-13T06:19:46
73600,2025-06-13T06:26:42
74000,2025-06-13T06:27:28
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74990,2025-06-13T06:28:18
74960,2025-06-13T06:42:39
74920,2025-06-13T06:43:30
74910,2025-06-13T06:44:38
74910,2025-06-13T06:45:10
74590,2025-06-13T06:46:16
74490,2025-06-13T06:46:44
74490,2025-06-13T06:46:44
74490,2025-06-13T06:46:44
74480,2025-06-13T06:50:33
74470,2025-06-13T06:51:37
74460,2025-06-13T06:52:14
74460,2025-06-13T06:52:14
74460,2025-06-13T06:52:14
74460,2025-06-13T06:52:14
74460,2025-06-13T06:52:14
74450,2025-06-13T06:56:57
74450,2025-06-13T06:56:57
74450,2025-06-13T06:56:57
74450,2025-06-13T06:56:57
74450,2025-06-13T06:56:57
74440,2025-06-13T07:01:49
74440,2025-06-13T07:01:49
74430,2025-06-13T07:04:04
74430,2025-06-13T07:04:04
74420,2025-06-13T07:06:29
74420,2025-06-13T07:06:29
74420,2025-06-13T07:06:29
74410,2025-06-13T07:08:49
74410,2025-06-13T07:08:49
74410,2025-06-13T07:08:49
74410,2025-06-13T07:08:49
74400,2025-06-13T07:12:57
74390,2025-06-13T07:14:11
74380,2025-06-13T07:15:14
74380,2025-06-13T07:15:14
74370,2025-06-13T07:17:45
74370,2025-06-13T07:17:45
74360,2025-06-13T07:19:15
74350,2025-06-13T07:20:02
74350,2025-06-13T07:20:02
74350,2025-06-13T07:20:02
74340,2025-06-13T07:22:37
74340,2025-06-13T07:22:37
74330,2025-06-13T07:24:43
74330,2025-06-13T07:24:43
74320,2025-06-13T07:27:21
74320,2025-06-13T07:27:21
74310,2025-06-13T07:29:24
74310,2025-06-13T07:29:24
74300,2025-06-13T07:31:22
74300,2025-06-13T07:31:22
74300,2025-06-13T07:31:22
74300,2025-06-13T07:31:22
74300,2025-06-13T07:31:22
74290,2025-06-13T07:36:12
74280,2025-06-13T07:37:14
74280,2025-06-13T07:37:14
74280,2025-06-13T07:37:14
74270,2025-06-13T07:39:26
74270,2025-06-13T07:39:26
74250,2025-06-13T07:42:19
74240,2025-06-13T07:42:40
74230,2025-06-13T07:43:41
74210,2025-06-13T07:45:00
74190,2025-06-13T07:46:04
74170,2025-06-13T07:47:00
74160,2025-06-13T07:48:05
74140,2025-06-13T07:49:18
74130,2025-06-13T07:49:52
74110,2025-06-13T07:51:06
74100,2025-06-13T07:51:35
74080,2025-06-13T07:53:22
74070,2025-06-13T07:53:37
74050,2025-06-13T07:55:16
74050,2025-06-13T07:55:16
74030,2025-06-13T07:57:06
